1	5	2.5	0
2	0.5	2	0
3	1	6	0
4	2.5	6	0
5	4.5	2.5	0
6	7.5	7	0
7	7	2.5	0
8	5	4	0
9	4	3.5	0
10	4.5	2	0
11	7.5	1	0
12	1.5	1.5	0
13	7	4	0
14	4	1.5	0
15	2	3.5	0
16	7.5	3	0
17	2	4.5	0
18	7	3.5	0
19	2.5	3	0
20	5.5	3	0
21	5.5	7.5	0
22	2	5	0
23	6	6	0
24	6	7.5	0
25	0.5	5	0
26	3	1.5	0
27	5	5	0
28	4.5	0.5	0
29	6.5	7.5	0
30	4	7	0
31	2.5	7.5	0
32	4.5	1	0
33	3	2	0
34	4.5	0.5	0
35	1.5	5.5	0
36	3	1.5	0
37	6.5	1	0
38	2	5.5	0
39	6	4	0
40	6	5.5	0
41	5.5	7	0
42	3	0.5	0
43	2.5	4	0
44	1	6.5	0
45	3	3	0
46	4.5	1	0
47	2.5	7	0
48	5	1.5	0
49	6	0.5	0
50	4.5	1	0
51	5	2.5	0
52	0.5	2	0
53	1	6	0
54	2.5	6	0
55	4.5	2.5	0
56	7.5	7	0
57	7	2.5	0
58	5	4	0
59	4	3.5	0
60	4.5	2	0
61	7.5	1	0
62	1.5	1.5	0
63	7	4	0
64	4	1.5	0
65	2	3.5	0
66	7.5	3	0
67	2	4.5	0
68	7	3.5	0
69	2.5	3	0
70	5.5	3	0
71	5.5	7.5	0
72	2	5	0
73	6	6	0
74	6	7.5	0
75	0.5	5	0
76	3	1.5	0
77	5	5	0
78	4.5	0.5	0
79	6.5	7.5	0
80	4	7	0
81	2.5	7.5	0
82	4.5	1	0
83	3	2	0
84	4.5	0.5	0
85	1.5	5.5	0
86	3	1.5	0
87	6.5	1	0
88	2	5.5	0
89	6	4	0
90	6	5.5	0
91	5.5	7	0
92	3	0.5	0
93	2.5	4	0
94	1	6.5	0
95	3	3	0
96	4.5	1	0
97	2.5	7	0
98	5	1.5	0
99	6	0.5	0
100	4.5	1	0
